PERIOD_DATE,PRODUNIT_ID,QTY
1/6/2021 0:00,ORDERS_SHIPPED,"1,189"
1/7/2021 0:00,LINES_RECEIVED-NOSPLITS,"2,243"
1/7/2021 0:00,ORDERS_RELEASED,364
1/7/2021 0:00,ORDERS_SHIPPED-NONKIT,66
1/7/2021 0:00,ORDERS_SHIPPED-KIT,"1,408"
1/7/2021 0:00,LINES_SHIPPED,"3,834"
1/7/2021 0:00,NCIS_CREATED,32
1/7/2021 0:00,PUTAWAY,"1,864"
1/7/2021 0:00,ORDERS_DELIVERED-1117,521
1/7/2021 0:00,ORDERS_DELIVERED-1118,330
1/7/2021 0:00,ORDERS_DELIVERED-1119,422
1/7/2021 0:00,ORDERS_DELIVERED-1121,129
1/7/2021 0:00,KIT_ORDERS_STAGED,"1,006"
1/7/2021 0:00,KIT_ORDERS_SHIPPED_TD,408
1/7/2021 0:00,STDKIT_LINES_RECEIVED,799
1/7/2021 0:00,STDKIT_LINES_ASSEMBLED,"7,314"
1/7/2021 0:00,PICK-BIN,"1,625"
1/7/2021 0:00,PICK-VLM,349
1/7/2021 0:00,PICK-BULK,386
1/7/2021 0:00,PICK-PALLET,617
1/7/2021 0:00,CYCLE_COUNTS,9
1/7/2021 0:00,ORDERS_SHIPPED,"1,474"
1/8/2021 0:00,LINES_RECEIVED-NOSPLITS,"2,010"
1/8/2021 0:00,ORDERS_RELEASED,337
1/8/2021 0:00,ORDERS_SHIPPED-KIT,"1,526"
1/8/2021 0:00,ORDERS_SHIPPED-NONKIT,45
1/8/2021 0:00,LINES_SHIPPED,"4,088"
1/8/2021 0:00,NCIS_CREATED,20
1/8/2021 0:00,PUTAWAY,"1,485"
1/8/2021 0:00,ORDERS_DELIVERED-1119,634
1/8/2021 0:00,ORDERS_DELIVERED-1118,457
1/8/2021 0:00,ORDERS_DELIVERED-1117,449
1/8/2021 0:00,ORDERS_DELIVERED-1121,119
1/8/2021 0:00,KIT_ORDERS_STAGED,983
1/8/2021 0:00,KIT_ORDERS_SHIPPED_TD,526
1/8/2021 0:00,STDKIT_LINES_RECEIVED,494
1/8/2021 0:00,STDKIT_LINES_ASSEMBLED,"3,942"
1/8/2021 0:00,PICK-BIN,"1,275"
1/8/2021 0:00,PICK-VLM,235
1/8/2021 0:00,PICK-BULK,415
1/8/2021 0:00,PICK-PALLET,584
1/8/2021 0:00,CYCLE_COUNTS,54
1/8/2021 0:00,ORDERS_SHIPPED,"1,571"
