PERIOD_DATE,PRODUNIT_ID,QTY
1/9/2021 0:00,ID3,-
1/9/2021 0:00,ID21,482
1/9/2021 0:00,ID20,"4,015"
1/9/2021 0:00,ID16,"1,381"
1/9/2021 0:00,ID18,66
1/9/2021 0:00,ID1,232
1/9/2021 0:00,ID17,647
1/9/2021 0:00,ID13,67
1/10/2021 0:00,ID17,323
1/10/2021 0:00,ID1,151
1/10/2021 0:00,ID5,158
1/10/2021 0:00,ID13,216
1/10/2021 0:00,ID14,214
1/10/2021 0:00,ID15,2
1/10/2021 0:00,ID6,678
1/10/2021 0:00,ID19,91
1/10/2021 0:00,ID8,15
1/10/2021 0:00,ID10,23
1/10/2021 0:00,ID11,16
1/10/2021 0:00,ID4,419
1/10/2021 0:00,ID3,-
1/10/2021 0:00,ID21,139
1/10/2021 0:00,ID20,"1,605"
1/10/2021 0:00,ID16,916
1/10/2021 0:00,ID18,24
1/10/2021 0:00,ID12,803
1/11/2021 0:00,ID19,"2,175"
1/11/2021 0:00,ID7,46
1/11/2021 0:00,ID8,542
1/11/2021 0:00,ID11,96
1/11/2021 0:00,ID10,356
1/11/2021 0:00,ID4,"1,045"
1/11/2021 0:00,ID3,435
1/11/2021 0:00,ID21,414
1/11/2021 0:00,ID20,"3,538"
1/11/2021 0:00,ID16,"1,234"
1/11/2021 0:00,ID18,197
1/11/2021 0:00,ID1,502
1/11/2021 0:00,ID17,713
1/11/2021 0:00,ID2,26
1/11/2021 0:00,ID12,"1,252"
1/11/2021 0:00,ID5,"2,077"
1/11/2021 0:00,ID13,"1,492"
1/11/2021 0:00,ID14,"1,435"
1/11/2021 0:00,ID15,57
1/11/2021 0:00,ID6,"4,068"
1/11/2021 0:00,ID9,527
1/12/2021 0:00,ID12,"1,455"
1/12/2021 0:00,ID2,88
1/12/2021 0:00,ID13,"1,382"
1/12/2021 0:00,ID14,"1,342"
1/12/2021 0:00,ID15,40
1/12/2021 0:00,ID6,"3,756"
1/12/2021 0:00,ID7,48
1/12/2021 0:00,ID19,"2,194"
1/12/2021 0:00,ID9,347
1/12/2021 0:00,ID11,144
1/12/2021 0:00,ID8,631
1/12/2021 0:00,ID10,278
1/12/2021 0:00,ID4,"1,187"
1/12/2021 0:00,ID3,342
1/12/2021 0:00,ID21,411
1/12/2021 0:00,ID20,"3,327"
1/12/2021 0:00,ID16,"1,819"
1/12/2021 0:00,ID18,390
1/12/2021 0:00,ID1,520
1/12/2021 0:00,ID17,731
1/12/2021 0:00,ID5,"1,799"
1/13/2021 0:00,ID5,"1,897"
1/13/2021 0:00,ID12,"1,248"
1/13/2021 0:00,ID14,"1,142"
1/13/2021 0:00,ID15,59
1/13/2021 0:00,ID6,"2,921"
1/13/2021 0:00,ID7,46
1/13/2021 0:00,ID19,"2,187"
1/13/2021 0:00,ID10,230
1/13/2021 0:00,ID11,107
1/13/2021 0:00,ID8,515
1/13/2021 0:00,ID9,270
1/13/2021 0:00,ID4,"1,173"
1/13/2021 0:00,ID3,142
1/13/2021 0:00,ID21,711
1/13/2021 0:00,ID20,"6,536"
1/13/2021 0:00,ID16,"1,780"
1/13/2021 0:00,ID18,214
1/13/2021 0:00,ID1,449
1/13/2021 0:00,ID17,820
1/13/2021 0:00,ID2,114
1/13/2021 0:00,ID13,"1,201"
1/14/2021 0:00,ID5,"2,137"
1/14/2021 0:00,ID12,459
1/14/2021 0:00,ID14,"1,407"
1/14/2021 0:00,ID15,53
1/14/2021 0:00,ID6,"4,044"
1/14/2021 0:00,ID7,38
1/14/2021 0:00,ID19,"1,930"
1/14/2021 0:00,ID11,169
1/14/2021 0:00,ID8,431
1/14/2021 0:00,ID9,442
1/14/2021 0:00,ID10,422
1/14/2021 0:00,ID4,"1,122"
1/14/2021 0:00,ID3,407
1/14/2021 0:00,ID21,710
1/14/2021 0:00,ID20,"5,379"
1/14/2021 0:00,ID16,"1,628"
1/14/2021 0:00,ID18,263
1/14/2021 0:00,ID1,613
1/14/2021 0:00,ID17,763
1/14/2021 0:00,ID2,16
1/14/2021 0:00,ID13,"1,460"
1/15/2021 0:00,ID5,"2,107"
1/15/2021 0:00,ID12,436
1/15/2021 0:00,ID14,995
1/15/2021 0:00,ID15,55
1/15/2021 0:00,ID6,"3,124"
1/15/2021 0:00,ID7,31
1/15/2021 0:00,ID19,"1,770"
1/15/2021 0:00,ID9,241
1/15/2021 0:00,ID11,111
1/15/2021 0:00,ID8,438
1/15/2021 0:00,ID10,262
1/15/2021 0:00,ID4,"1,057"
1/15/2021 0:00,ID3,-
1/15/2021 0:00,ID21,533
1/15/2021 0:00,ID20,"4,670"
1/15/2021 0:00,ID16,"1,725"
1/15/2021 0:00,ID18,295
1/15/2021 0:00,ID1,418
1/15/2021 0:00,ID17,779
1/15/2021 0:00,ID2,89
1/15/2021 0:00,ID13,"1,050"
1/16/2021 0:00,ID1,331
1/16/2021 0:00,ID18,81
1/16/2021 0:00,ID12,746
1/16/2021 0:00,ID5,436
1/16/2021 0:00,ID13,55
1/16/2021 0:00,ID15,16
1/16/2021 0:00,ID14,39
1/16/2021 0:00,ID6,165
1/16/2021 0:00,ID19,201
1/16/2021 0:00,ID11,33
1/16/2021 0:00,ID8,5
1/16/2021 0:00,ID9,2
1/16/2021 0:00,ID4,639
1/16/2021 0:00,ID3,-
1/16/2021 0:00,ID21,338
1/16/2021 0:00,ID20,"2,454"
1/16/2021 0:00,ID16,"1,003"
1/16/2021 0:00,ID17,499
1/17/2021 0:00,ID5,37
1/17/2021 0:00,ID12,467
1/17/2021 0:00,ID15,34
1/17/2021 0:00,ID14,248
1/17/2021 0:00,ID6,939
1/17/2021 0:00,ID19,222
1/17/2021 0:00,ID11,38
1/17/2021 0:00,ID8,78
1/17/2021 0:00,ID10,26
1/17/2021 0:00,ID4,236
1/17/2021 0:00,ID3,-
1/17/2021 0:00,ID21,20
1/17/2021 0:00,ID20,121
1/17/2021 0:00,ID16,770
1/17/2021 0:00,ID18,13
1/17/2021 0:00,ID1,156
1/17/2021 0:00,ID17,412
1/17/2021 0:00,ID13,282
1/18/2021 0:00,ID11,90
1/18/2021 0:00,ID10,180
1/18/2021 0:00,ID4,"1,070"
1/18/2021 0:00,ID3,131
1/18/2021 0:00,ID21,603
1/18/2021 0:00,ID20,"5,279"
1/18/2021 0:00,ID16,"1,620"
1/18/2021 0:00,ID18,142
1/18/2021 0:00,ID1,488
1/18/2021 0:00,ID17,796
1/18/2021 0:00,ID2,84
1/18/2021 0:00,ID12,"1,098"
1/18/2021 0:00,ID5,"2,127"
1/18/2021 0:00,ID13,"1,185"
1/18/2021 0:00,ID14,"1,131"
1/18/2021 0:00,ID15,54
1/18/2021 0:00,ID6,"3,317"
1/18/2021 0:00,ID7,37
1/18/2021 0:00,ID19,"2,002"
1/18/2021 0:00,ID8,644
1/18/2021 0:00,ID9,366
1/19/2021 0:00,ID8,342
1/19/2021 0:00,ID9,483
1/19/2021 0:00,ID3,290
1/19/2021 0:00,ID21,804
